Proprietary_Name,Class,Analog_Name,Package_Count,Item_Volume_mL,Dosage_Form,Note,Strength_Value,Strength_Unit,Total_Content_Value,Total_Content_Unit,Expiration_After_Opening_Days
Adlyxin,GLP-1 Receptor Agonist,lixisenatide,1,3,pen,starter-green,50,MCG/ml,150,MCG,14
Adlyxin,GLP-1 Receptor Agonist,lixisenatide,1,3,pen,starter-burgundy,100,MCG/ml,300,MCG,14
Adlyxin,GLP-1 Receptor Agonist,lixisenatide,2,3,pen,maintenance,100,MCG/mL,600,MCG,14
Bydureon,GLP-1 Receptor Agonist,exenatide extended release,4,0.85,BCise auto-injector,,2,MG/0.85 mL,8,MG,0
Byetta,GLP-1 Receptor Agonist,exenatide,1,1.2,pen,5 mcg dose,250,MCG/mL,300,MCG,30
Byetta,GLP-1 Receptor Agonist,exenatide,1,2.4,pen,10 mcg dose,250,MCG/mL,600,MCG,30
Mounjaro,GLP-1 Receptor Agonist,tirzepatide,4,0.5,pen,,2.5,MG/0.5 ml,10,MG,21
Mounjaro,GLP-1 Receptor Agonist,tirzepatide,4,0.5,pen,,5,MG/0.5 mL,20,MG,21
Mounjaro,GLP-1 Receptor Agonist,tirzepatide,4,0.5,pen,,7.5,MG/0.5 ml,30,MG,21
Mounjaro,GLP-1 Receptor Agonist,tirzepatide,4,0.5,pen,,10,MG/0.5 ml,40,MG,21
Mounjaro,GLP-1 Receptor Agonist,tirzepatide,4,0.5,pen,,12.5,MG/0.5 mL,50,MG,21
Mounjaro,GLP-1 Receptor Agonist,tirzepatide,4,0.5,pen,,15,MG/0.5 ml,60,MG,21
Ozempic,GLP-1 Receptor Agonist,semaglutide,1,3,pen,red,2,MG/3 ml,2,MG,56
Ozempic,GLP-1 Receptor Agonist,semaglutide,1,3,pen,blue,4,MG/3 mL,4,MG,56
Ozempic,GLP-1 Receptor Agonist,semaglutide,1,3,pen,yellow,8,MG/3 ml,8,MG,56
Trulicity,GLP-1 Receptor Agonist,dulaglutide,4,0.5,pen,,0.75,MG/0.5 mL,3,MG,0
Trulicity,GLP-1 Receptor Agonist,dulaglutide,4,0.5,pen,,1.5,MG/0.5 ml,6,MG,0
Trulicity,GLP-1 Receptor Agonist,dulaglutide,4,0.5,pen,,3,MG/0.5 ml,12,MG,0
Trulicity,GLP-1 Receptor Agonist,dulaglutide,4,0.5,pen,,4.5,MG/0.5 ml,18,MG,0
Victoza,GLP-1 Receptor Agonist,liraglutide,2,3,pen,,6,MG/mL,36,MG,30
Victoza,GLP-1 Receptor Agonist,liraglutide,3,3,pen,,6,MG/mL,54,MG,30
Soliqua 100/33,Combo & Miscellaneous,"insulin glargine, lixisenatide",5,3,pen,,"100 U/mL, 33 MCG/mL","1500 U, 495 MCG",,28
SymlinPen,Combo & Miscellaneous,pramlintide,2,1.5,pen,60,1000,MCG/ml,3000,MCG,30
SymlinPen,Combo & Miscellaneous,pramlintide,2,2.7,pen,120,1000,MCG/mL,5400,MCG,30
Xultophy 100/3.6,Combo & Miscellaneous,"insulin degludec, liraglutide",5,3,pen,,"100 U/mL, 3.6 MG/ml","1500 U, 54 MG",,21
